TIME,VALUE,DURATION,LEVEL,LABEL
8.867708206,81,0.075000003,0.8,n121-1
8.911458015,79,0.075000003,0.8,n122-1
9.041666985,55,0.542708337,0.8,n133-1
9.046875000,62,0.546875000,0.8,n134-1
9.054166794,79,0.075000003,0.8,n125-1
9.111458778,77,0.088541664,0.8,n126-1
9.229166985,76,0.075000003,0.8,n127-1
9.307291985,77,0.113541670,0.8,n128-1
9.403124809,86,0.162499994,0.8,n129-1
9.490625381,83,0.110416666,0.8,n130-1
9.568750381,79,0.075000003,0.8,n131-1
9.608333588,77,0.075000003,0.8,n132-1
9.753125191,60,0.419791669,0.8,n144-1
9.754166603,55,0.444791675,0.8,n143-1
9.756250381,77,0.075000003,0.8,n135-1
9.820833206,76,0.087499999,0.8,n136-1
9.941666603,75,0.075000003,0.8,n137-1
10.018750191,76,0.114583336,0.8,n138-1
10.121874809,84,0.103124999,0.8,n139-1
10.210416794,79,0.107291669,0.8,n140-1
10.303125381,77,0.075000003,0.8,n141-1
10.356249809,60,0.108333334,0.8,n146-1
10.368749619,76,0.075000003,0.8,n142-1
10.476041794,79,0.320833325,0.8,n147-1
10.503125191,64,0.306250006,0.8,n150-1
10.507291794,55,0.428124994,0.8,n153-1
10.801041603,76,0.137500003,0.8,n148-1
10.809374809,60,0.163541660,0.8,n151-1
10.913541794,74,0.193749994,0.8,n149-1
10.941666603,59,0.172916666,0.8,n152-1
11.234375000,74,0.075000003,0.8,n154-1
11.243749619,48,0.086458333,0.8,n162-1
11.310416222,72,0.075000003,0.8,n155-1
11.388541222,71,0.075000003,0.8,n156-1
11.476041794,72,0.075000003,0.8,n157-1
11.550000191,71,0.075000003,0.8,n158-1
11.558333397,60,0.085416667,0.8,n163-1
11.643750191,72,0.075000003,0.8,n159-1
11.717708588,71,0.092708334,0.8,n160-1
11.805208206,72,0.075000003,0.8,n161-1
11.879166603,81,0.113541670,0.8,n164-1
11.889583588,64,0.112499997,0.8,n172-1
12.028124809,79,0.075000003,0.8,n165-1
12.088541985,78,0.075000003,0.8,n166-1
12.179166794,79,0.075000003,0.8,n167-1
12.230208397,60,0.075000003,0.8,n173-1
12.266666412,78,0.075000003,0.8,n168-1
12.345833778,79,0.075000003,0.8,n169-1
12.428125381,78,0.075000003,0.8,n170-1
12.513541222,79,0.075000003,0.8,n171-1
12.603124619,80,0.084375001,0.8,n174-1
12.607291222,65,0.097916670,0.8,n182-1
12.690625191,81,0.097916670,0.8,n175-1
12.768750191,84,0.125000000,0.8,n176-1
12.848958015,83,0.104166664,0.8,n177-1
12.954166412,86,0.103124999,0.8,n178-1
12.976041794,60,0.091666669,0.8,n183-1
13.008333206,84,0.114583336,0.8,n179-1
13.089583397,83,0.075000003,0.8,n180-1
13.141666412,81,0.075000003,0.8,n181-1
13.279166222,81,0.081249997,0.8,n184-1
13.288541794,64,0.402083337,0.8,n193-1
13.290624619,60,0.404166669,0.8,n192-1
13.382291794,79,0.095833331,0.8,n185-1
13.481249809,88,0.103124999,0.8,n186-1
13.547916412,86,0.143749997,0.8,n187-1
13.639583588,84,0.077083334,0.8,n188-1
13.691666603,83,0.075000003,0.8,n189-1
13.769791603,81,0.075000003,0.8,n190-1
13.875000000,61,0.075000003,0.8,n195-1
13.880208015,79,0.075000003,0.8,n191-1
13.980208397,62,0.482291669,0.8,n204-1
13.989583015,79,0.075000003,0.8,n196-1
14.092708588,77,0.081249997,0.8,n197-1
14.170833588,86,0.118749999,0.8,n198-1
14.247916222,84,0.126041666,0.8,n199-1
14.327083588,83,0.075000003,0.8,n200-1
14.369791985,81,0.075000003,0.8,n201-1
14.455208778,79,0.075000003,0.8,n202-1
14.555208206,77,0.075000003,0.8,n203-1
14.562500000,59,0.075000003,0.8,n206-1
14.673958778,77,0.085416667,0.8,n207-1
14.697916985,60,0.420833319,0.8,n215-1
14.771875381,76,0.086458333,0.8,n208-1
14.880208015,84,0.096874997,0.8,n209-1
14.934374809,83,0.130208328,0.8,n210-1
15.012499809,81,0.080208331,0.8,n211-1
15.072916985,79,0.075000003,0.8,n212-1
15.134374619,77,0.075000003,0.8,n213-1
15.237500191,76,0.107291669,0.8,n214-1
15.262499809,57,0.090625003,0.8,n217-1
15.359375000,74,0.250000000,0.8,n218-1
15.391666412,53,0.396874994,0.8,n222-1
15.584375381,81,0.215625003,0.8,n219-1
15.773958206,79,0.193749994,0.8,n220-1
15.787500381,55,0.387499988,0.8,n223-1
15.987500191,71,0.228125006,0.8,n221-1
16.186458588,60,0.412499994,0.8,n226-1
16.197916031,72,0.644791663,0.8,n224-1
16.587499619,48,0.358333319,0.8,n227-1
