velocity,timing,articulation,id
0.0,0.0,0.0,n126-1
0.0,0.0,0.0,n127-1
0.0,0.0,0.0,n128-1
0.0,0.0,0.0,n129-1
0.0,0.0,0.0,n130-1
0.0,0.0,0.0,n131-1
0.0,0.0,0.0,n132-1
0.0,0.0,0.0,n143-1
0.0,0.0,0.0,n144-1
0.0,0.0,0.0,n135-1
0.0,0.0,0.0,n136-1
0.0,0.0,0.0,n137-1
0.0,0.0,0.0,n138-1
0.0,0.0,0.0,n139-1
0.0,0.0,0.0,n140-1
0.0,0.0,0.0,n141-1
0.0,0.0,0.0,n146-1
0.0,0.0,0.0,n142-1
0.0,0.0,0.0,n153-1
0.0,0.0,0.0,n150-1
0.0,0.0,0.0,n147-1
0.0,0.0,0.0,n151-1
0.0,0.0,0.0,n148-1
0.0,0.0,0.0,n152-1
0.0,0.0,0.0,n149-1
0.0,0.0,0.0,n162-1
0.0,0.0,0.0,n154-1
0.0,0.0,0.0,n155-1
0.0,0.0,0.0,n156-1
0.0,0.0,0.0,n157-1
0.0,0.0,0.0,n163-1
0.0,0.0,0.0,n158-1
0.0,0.0,0.0,n159-1
0.0,0.0,0.0,n160-1
0.0,0.0,0.0,n161-1
0.0,0.0,0.0,n172-1
0.0,0.0,0.0,n164-1
0.0,0.0,0.0,n165-1
0.0,0.0,0.0,n166-1
0.0,0.0,0.0,n167-1
0.0,0.0,0.0,n173-1
0.0,0.0,0.0,n168-1
0.0,0.0,0.0,n169-1
0.0,0.0,0.0,n170-1
0.0,0.0,0.0,n171-1
0.0,0.0,0.0,n182-1
0.0,0.0,0.0,n174-1
0.0,0.0,0.0,n175-1
0.0,0.0,0.0,n176-1
0.0,0.0,0.0,n177-1
0.0,0.0,0.0,n183-1
0.0,0.0,0.0,n178-1
0.0,0.0,0.0,n179-1
0.0,0.0,0.0,n180-1
0.0,0.0,0.0,n181-1
0.0,0.0,0.0,n192-1
0.0,0.0,0.0,n193-1
0.0,0.0,0.0,n184-1
0.0,0.0,0.0,n185-1
0.0,0.0,0.0,n186-1
0.0,0.0,0.0,n187-1
0.0,0.0,0.0,n188-1
0.0,0.0,0.0,n189-1
0.0,0.0,0.0,n190-1
0.0,0.0,0.0,n195-1
0.0,0.0,0.0,n191-1
0.0,0.0,0.0,n204-1
0.0,0.0,0.0,n196-1
0.0,0.0,0.0,n197-1
0.0,0.0,0.0,n198-1
0.0,0.0,0.0,n199-1
0.0,0.0,0.0,n200-1
0.0,0.0,0.0,n201-1
0.0,0.0,0.0,n202-1
0.0,0.0,0.0,n206-1
0.0,0.0,0.0,n203-1
0.0,0.0,0.0,n215-1
0.0,0.0,0.0,n207-1
0.0,0.0,0.0,n208-1
0.0,0.0,0.0,n209-1
0.0,0.0,0.0,n210-1
0.0,0.0,0.0,n211-1
0.0,0.0,0.0,n212-1
0.0,0.0,0.0,n213-1
0.0,0.0,0.0,n217-1
0.0,0.0,0.0,n214-1
0.0,0.0,0.0,n222-1
0.0,0.0,0.0,n218-1
0.0,0.0,0.0,n219-1
0.0,0.0,0.0,n223-1
0.0,0.0,0.0,n220-1
0.0,0.0,0.0,n221-1
0.0,0.0,0.0,n226-1
0.0,0.0,0.0,n224-1
0.0,0.0,0.0,n227-1
