onset_sec,duration_sec,pitch,velocity,track,channel,id
10.121875,0.103125,84,70,0,0,n134
10.210417,0.10729167,79,78,0,0,n135
10.303125,0.048958335,77,51,0,0,n136
10.35625,0.108333334,60,61,0,0,n137
10.36875,0.048958335,76,62,0,0,n138
10.476042,0.32083333,79,80,0,0,n139
10.503125,0.30625,64,73,0,0,n140
10.507292,0.428125,55,67,0,0,n141
10.801042,0.1375,76,68,0,0,n142
10.809375,0.16354166,60,65,0,0,n143
10.913542,0.19375,74,69,0,0,n144
10.941667,0.17291667,59,71,0,0,n145
11.234375,0.07083333,74,71,0,0,n146
11.24375,0.08645833,48,71,0,0,n147
11.310416,0.047916666,72,68,0,0,n148
11.388541,0.051041666,71,63,0,0,n149
11.476042,0.05,72,63,0,0,n150
11.55,0.05625,71,67,0,0,n151
11.558333,0.08541667,60,65,0,0,n152
11.64375,0.042708334,72,63,0,0,n153
11.717709,0.092708334,71,73,0,0,n154
11.805208,0.04375,72,61,0,0,n155
11.879167,0.11354167,81,73,0,0,n156
11.889584,0.1125,64,64,0,0,n157
12.028125,0.047916666,79,59,0,0,n158
12.088542,0.052083332,78,73,0,0,n159
12.179167,0.061458334,79,71,0,0,n160
12.230208,0.058333334,60,53,0,0,n161
12.266666,0.045833334,78,68,0,0,n162
12.345834,0.051041666,79,70,0,0,n163
12.428125,0.06666667,78,68,0,0,n164
12.513541,0.045833334,79,72,0,0,n165
12.603125,0.084375,80,71,0,0,n166
12.607291,0.09791667,65,61,0,0,n167
12.690625,0.09791667,81,70,0,0,n168
12.76875,0.125,84,60,0,0,n169
12.848958,0.104166664,83,66,0,0,n170
12.954166,0.103125,86,68,0,0,n171
12.976042,0.09166667,60,56,0,0,n172
13.008333,0.114583336,84,67,0,0,n173
13.089583,0.051041666,83,70,0,0,n174
13.141666,0.040625,81,63,0,0,n175
13.279166,0.08125,81,75,0,0,n176
13.288542,0.40208334,64,67,0,0,n177
13.290625,0.40416667,60,62,0,0,n178
13.382292,0.09583333,79,74,0,0,n179
13.48125,0.103125,88,74,0,0,n180
13.547916,0.14375,86,69,0,0,n181
13.639584,0.077083334,84,64,0,0,n182
13.691667,0.06666667,83,69,0,0,n183
13.769792,0.033333335,81,61,0,0,n184
13.875,0.034375,61,50,0,0,n185
13.880208,0.027083334,79,61,0,0,n186
13.980208,0.48229167,62,72,0,0,n187
13.989583,0.07395833,79,78,0,0,n188
14.092709,0.08125,77,73,0,0,n189
14.170834,0.11875,86,72,0,0,n190
14.247916,0.12604167,84,69,0,0,n191
14.327084,0.06979167,83,65,0,0,n192
14.369792,0.07083333,81,70,0,0,n193
14.455209,0.026041666,79,60,0,0,n194
14.555208,0.029166667,77,73,0,0,n195
14.5625,0.058333334,59,67,0,0,n196
14.673959,0.08541667,77,70,0,0,n197
14.697917,0.42083332,60,72,0,0,n198
14.771875,0.08645833,76,73,0,0,n199
14.880208,0.096875,84,63,0,0,n200
14.88125,0.08020833,86,58,0,0,n201
14.934375,0.13020833,83,68,0,0,n202
15.0125,0.08020833,81,62,0,0,n203
15.072917,0.047916666,79,64,0,0,n204
15.134375,0.048958335,77,66,0,0,n205
15.2375,0.10729167,76,69,0,0,n206
15.2625,0.090625,57,63,0,0,n207
15.359375,0.25,74,68,0,0,n208
15.391666,0.396875,53,75,0,0,n209
15.584375,0.215625,81,73,0,0,n210
15.773958,0.19375,79,69,0,0,n211
15.7875,0.3875,55,68,0,0,n212
15.9875,0.228125,71,63,0,0,n213
16.186459,0.4125,60,59,0,0,n214
16.197916,0.64479166,72,64,0,0,n215
16.5875,0.35833332,48,67,0,0,n216
