TIME,VALUE,DURATION,LEVEL,LABEL
22.613542557,86,0.464583337,0.8,n129-1
22.796875000,83,0.258333325,0.8,n130-1
23.013542175,79,0.200000003,0.8,n131-1
23.212499619,77,0.080208331,0.8,n132-1
23.435417175,77,0.172916666,0.8,n135-1
23.443750381,60,1.116666675,0.8,n144-1
23.453125000,55,1.170833349,0.8,n143-1
23.635416031,76,0.168750003,0.8,n136-1
23.832292557,75,0.176041663,0.8,n137-1
24.014583588,76,0.236458331,0.8,n138-1
24.237499237,84,0.231250003,0.8,n139-1
24.442708969,79,0.220833331,0.8,n140-1
24.653125763,77,0.224999994,0.8,n141-1
24.866666794,76,0.306250006,0.8,n142-1
24.867708206,60,0.334374994,0.8,n146-1
25.162500381,79,0.812500000,0.8,n147-1
25.191667557,55,0.928125024,0.8,n153-1
25.196874619,64,0.768750012,0.8,n150-1
25.922916412,76,0.306250006,0.8,n148-1
25.935417175,60,0.283333331,0.8,n151-1
26.192708969,59,0.470833331,0.8,n152-1
26.198957443,74,0.521875024,0.8,n149-1
27.110416412,48,0.582291663,0.8,n162-1
27.111457825,74,0.161458328,0.8,n154-1
27.295833588,72,0.200000003,0.8,n155-1
27.490625381,71,0.213541672,0.8,n156-1
27.723958969,72,0.213541672,0.8,n157-1
27.919792175,71,0.210416660,0.8,n158-1
27.945833206,60,0.968750000,0.8,n163-1
28.148958206,72,0.213541672,0.8,n159-1
28.351041794,71,0.237499997,0.8,n160-1
28.565624237,72,0.193749994,0.8,n161-1
28.787500381,81,0.137500003,0.8,n164-1
28.789583206,64,0.831250012,0.8,n172-1
28.992708206,79,0.192708328,0.8,n165-1
29.202083588,78,0.142708331,0.8,n166-1
29.363542557,79,0.210416660,0.8,n167-1
29.587499619,78,0.162499994,0.8,n168-1
29.612499237,60,0.746874988,0.8,n173-1
29.758333206,79,0.168750003,0.8,n169-1
29.953125000,78,0.180208340,0.8,n170-1
30.141666412,79,0.173958331,0.8,n171-1
30.366666794,80,0.245833337,0.8,n174-1
30.381250381,65,0.881250024,0.8,n182-1
30.576042175,81,0.251041681,0.8,n175-1
30.782291412,84,0.206249997,0.8,n176-1
30.969791412,83,0.218750000,0.8,n177-1
31.170833588,86,0.233333334,0.8,n178-1
31.222917557,60,0.535416663,0.8,n183-1
31.396875381,84,0.267708331,0.8,n179-1
31.630208969,83,0.168750003,0.8,n180-1
31.802083969,81,0.095833331,0.8,n181-1
32.045833588,81,0.207291663,0.8,n184-1
32.053123474,60,1.420833349,0.8,n192-1
32.064582825,64,1.369791627,0.8,n193-1
32.264583588,79,0.215625003,0.8,n185-1
32.466667175,88,0.221874997,0.8,n186-1
32.669792175,86,0.268750012,0.8,n187-1
32.894790649,84,0.216666669,0.8,n188-1
33.090625763,83,0.172916666,0.8,n189-1
33.281250000,81,0.119791664,0.8,n190-1
33.481250763,79,0.075000003,0.8,n191-1
33.489582062,61,0.113541670,0.8,n195-1
33.685417175,79,0.193749994,0.8,n196-1
33.686458588,62,1.427083373,0.8,n204-1
33.894790649,77,0.165625006,0.8,n197-1
34.085414886,86,0.189583331,0.8,n198-1
34.264583588,84,0.290625006,0.8,n199-1
34.503124237,83,0.210416660,0.8,n200-1
34.698959351,81,0.193749994,0.8,n201-1
34.902084351,79,0.119791664,0.8,n202-1
35.101039886,77,0.075000003,0.8,n203-1
35.120834351,59,0.092708334,0.8,n206-1
35.309375763,77,0.196875006,0.8,n207-1
35.316665649,60,1.471874952,0.8,n215-1
35.539585114,76,0.215625003,0.8,n208-1
35.754165649,84,0.192708328,0.8,n209-1
35.942707062,83,0.266666681,0.8,n210-1
36.171875000,81,0.217708334,0.8,n211-1
36.371875763,79,0.195833340,0.8,n212-1
36.584373474,77,0.179166660,0.8,n213-1
36.764583588,57,0.308333337,0.8,n217-1
36.777084351,76,0.256249994,0.8,n214-1
37.039585114,74,0.441666663,0.8,n218-1
37.049999237,53,0.750000000,0.8,n222-1
37.407291412,81,0.369791657,0.8,n219-1
37.792709351,79,0.423958331,0.8,n220-1
37.813541412,55,0.798958361,0.8,n223-1
38.191665649,71,0.402083337,0.8,n221-1
38.629165649,72,1.750000000,0.8,n224-1
38.636459351,60,0.952083349,0.8,n226-1
39.552082062,48,0.896875024,0.8,n227-1
