onset_sec,duration_sec,pitch,velocity,track,channel,id
16.066668,0.108333334,79,68,0,0,n161
16.182291,0.0875,78,66,0,0,n162
16.298958,0.08229167,79,64,0,0,n163
16.392708,0.075,60,53,0,0,n164
16.407291,0.0875,78,62,0,0,n165
16.515625,0.08125,79,64,0,0,n166
16.63125,0.08229167,78,62,0,0,n167
16.727083,0.08125,79,65,0,0,n168
16.845833,0.108333334,80,68,0,0,n169
16.867708,0.19895834,65,55,0,0,n170
16.95625,0.15416667,81,64,0,0,n171
17.08125,0.13229166,84,60,0,0,n172
17.18125,0.11875,83,59,0,0,n173
17.303125,0.119791664,86,64,0,0,n174
17.304167,0.15729167,60,44,0,0,n175
17.403126,0.14375,84,62,0,0,n176
17.508333,0.108333334,83,62,0,0,n177
17.6125,0.040625,81,59,0,0,n178
17.753124,0.54583335,60,56,0,0,n179
17.760416,0.10104167,81,70,0,0,n180
17.763542,0.51354164,64,52,0,0,n181
17.888542,0.14895834,79,65,0,0,n182
18.028126,0.12291667,88,78,0,0,n183
18.1375,0.13333334,86,74,0,0,n184
18.251041,0.146875,84,63,0,0,n185
18.352083,0.103125,83,63,0,0,n186
18.4625,0.055208333,81,65,0,0,n187
18.564583,0.055208333,61,62,0,0,n188
18.590626,0.033333335,79,71,0,0,n189
18.721874,0.10208333,79,71,0,0,n190
18.7375,0.603125,62,71,0,0,n191
18.845833,0.1,77,67,0,0,n192
18.957293,0.13645834,86,80,0,0,n193
19.073957,0.16354166,84,73,0,0,n194
19.191668,0.13020833,83,65,0,0,n195
19.285418,0.094791666,81,64,0,0,n196
19.388542,0.071875,79,62,0,0,n197
19.510416,0.058333334,59,61,0,0,n198
19.53125,0.023958333,77,64,0,0,n199
19.642708,0.11875,77,74,0,0,n200
19.670834,0.80625,60,67,0,0,n201
19.783333,0.098958336,76,67,0,0,n202
19.90625,0.125,84,75,0,0,n203
20.01875,0.146875,83,72,0,0,n204
20.134375,0.140625,81,65,0,0,n205
20.251041,0.08958333,79,65,0,0,n206
20.358334,0.08020833,77,61,0,0,n207
20.478125,0.171875,57,56,0,0,n208
20.485416,0.11354167,76,63,0,0,n209
20.623959,0.31770834,74,64,0,0,n210
20.646875,0.525,53,59,0,0,n211
20.919792,0.22395833,81,64,0,0,n212
21.145834,0.26875,79,62,0,0,n213
21.167707,0.515625,55,50,0,0,n214
21.429167,0.21770833,71,56,0,0,n215
21.635416,0.5697917,60,37,0,0,n216
21.691668,0.9739583,72,55,0,0,n217
22.269793,0.465625,48,44,0,0,n218
