TIME,VALUE,DURATION,LEVEL,LABEL
9.509374619,76,0.075000003,0.8,n98-1
9.614583015,55,0.096874997,0.8,n104-1
9.622916222,75,0.111458331,0.8,n99-1
9.741666794,76,0.075000003,0.8,n100-1
9.824999809,77,0.105208330,0.8,n101-1
9.929166794,76,0.075000003,0.8,n102-1
10.065625191,76,0.077083334,0.8,n105-1
10.066666603,65,0.117708333,0.8,n113-1
10.187500000,74,0.075000003,0.8,n106-1
10.294791222,73,0.087499999,0.8,n107-1
10.413541794,74,0.075000003,0.8,n108-1
10.528124809,73,0.080208331,0.8,n109-1
10.541666985,55,0.077083334,0.8,n114-1
10.640625000,74,0.075000003,0.8,n110-1
10.760416985,76,0.075000003,0.8,n111-1
10.836458206,74,0.075000003,0.8,n112-1
10.988541603,64,0.741666675,0.8,n124-1
11.000000000,81,0.094791666,0.8,n115-1
11.003125191,55,0.719791651,0.8,n123-1
11.114583015,79,0.105208330,0.8,n116-1
11.231249809,78,0.100000001,0.8,n117-1
11.336458206,79,0.164583340,0.8,n118-1
11.454166412,88,0.187500000,0.8,n119-1
11.582291603,84,0.176041663,0.8,n120-1
11.693750381,81,0.095833331,0.8,n121-1
11.786458015,79,0.075000003,0.8,n122-1
11.942708015,79,0.087499999,0.8,n125-1
11.966666222,62,0.697916687,0.8,n134-1
11.982291222,55,0.662500024,0.8,n133-1
12.057291985,77,0.111458331,0.8,n126-1
12.181249619,76,0.075000003,0.8,n127-1
12.277083397,77,0.111458331,0.8,n128-1
12.394791603,86,0.228125006,0.8,n129-1
12.530208588,83,0.141666666,0.8,n130-1
12.659375191,79,0.075000003,0.8,n131-1
12.737500191,77,0.075000003,0.8,n132-1
12.891666412,77,0.084375001,0.8,n135-1
12.892708778,60,0.550000012,0.8,n144-1
12.913541794,55,0.530208349,0.8,n143-1
12.991666794,76,0.105208330,0.8,n136-1
13.118749619,75,0.103124999,0.8,n137-1
13.235416412,76,0.122916669,0.8,n138-1
13.339583397,84,0.116666667,0.8,n139-1
13.467708588,79,0.122916669,0.8,n140-1
13.589583397,77,0.101041667,0.8,n141-1
13.659375191,60,0.213541672,0.8,n146-1
13.692708015,76,0.129166663,0.8,n142-1
13.866666794,79,0.469791681,0.8,n147-1
13.877083778,55,0.607291639,0.8,n153-1
13.888541222,64,0.480208337,0.8,n150-1
14.347916603,76,0.163541660,0.8,n148-1
14.354166985,60,0.170833334,0.8,n151-1
14.516666412,59,0.329166681,0.8,n152-1
14.523958206,74,0.342708319,0.8,n149-1
15.063541412,48,0.109375000,0.8,n162-1
15.073958397,74,0.100000001,0.8,n154-1
15.168749809,72,0.095833331,0.8,n155-1
15.287500381,71,0.075000003,0.8,n156-1
15.402083397,72,0.089583330,0.8,n157-1
15.512499809,60,0.075000003,0.8,n163-1
15.515625000,71,0.075000003,0.8,n158-1
15.643750191,72,0.075000003,0.8,n159-1
15.731249809,71,0.103124999,0.8,n160-1
15.837499619,72,0.081249997,0.8,n161-1
15.944791794,64,0.164583340,0.8,n172-1
15.952083588,81,0.109375000,0.8,n164-1
16.066667557,79,0.108333334,0.8,n165-1
16.182291031,78,0.087499999,0.8,n166-1
16.298957825,79,0.082291670,0.8,n167-1
16.392707825,60,0.075000003,0.8,n173-1
16.407291412,78,0.087499999,0.8,n168-1
16.515625000,79,0.081249997,0.8,n169-1
16.631250381,78,0.082291670,0.8,n170-1
16.727083206,79,0.081249997,0.8,n171-1
16.845832825,80,0.108333334,0.8,n174-1
16.867708206,65,0.198958337,0.8,n182-1
16.956249237,81,0.154166669,0.8,n175-1
17.081249237,84,0.132291660,0.8,n176-1
17.181249619,83,0.118749999,0.8,n177-1
17.303125381,86,0.119791664,0.8,n178-1
17.304166794,60,0.157291666,0.8,n183-1
17.403125763,84,0.143749997,0.8,n179-1
17.508333206,83,0.108333334,0.8,n180-1
17.612499237,81,0.075000003,0.8,n181-1
17.753124237,60,0.545833349,0.8,n192-1
17.760416031,81,0.101041667,0.8,n184-1
17.763542175,64,0.513541639,0.8,n193-1
17.888542175,79,0.148958340,0.8,n185-1
18.028125763,88,0.122916669,0.8,n186-1
18.137500763,86,0.133333340,0.8,n187-1
18.251041412,84,0.146874994,0.8,n188-1
18.352083206,83,0.103124999,0.8,n189-1
18.462499619,81,0.075000003,0.8,n190-1
18.564582825,61,0.075000003,0.8,n195-1
18.590625763,79,0.075000003,0.8,n191-1
18.721874237,79,0.102083333,0.8,n196-1
18.737499237,62,0.603124976,0.8,n204-1
18.845832825,77,0.100000001,0.8,n197-1
18.957292557,86,0.136458337,0.8,n198-1
19.073957443,84,0.163541660,0.8,n199-1
19.191667557,83,0.130208328,0.8,n200-1
19.285417557,81,0.094791666,0.8,n201-1
19.388542175,79,0.075000003,0.8,n202-1
19.510416031,59,0.075000003,0.8,n206-1
19.531250000,77,0.075000003,0.8,n203-1
19.642707825,77,0.118749999,0.8,n207-1
19.670833588,60,0.806249976,0.8,n215-1
19.783332825,76,0.098958336,0.8,n208-1
19.906250000,84,0.125000000,0.8,n209-1
20.018749237,83,0.146874994,0.8,n210-1
20.134374619,81,0.140625000,0.8,n211-1
20.251041412,79,0.089583330,0.8,n212-1
20.358333588,77,0.080208331,0.8,n213-1
20.478124619,57,0.171875000,0.8,n217-1
20.485416412,76,0.113541670,0.8,n214-1
20.623958588,74,0.317708343,0.8,n218-1
20.646875381,53,0.524999976,0.8,n222-1
20.919792175,81,0.223958328,0.8,n219-1
21.145833969,79,0.268750012,0.8,n220-1
21.167707443,55,0.515625000,0.8,n223-1
21.429166794,71,0.217708334,0.8,n221-1
21.635416031,60,0.569791675,0.8,n226-1
21.691667557,72,0.973958313,0.8,n224-1
22.269792557,48,0.465624988,0.8,n227-1
