TIME,VALUE,LABEL
4.184374809,59.000000000,pedal
4.204166889,57.000000000,pedal
4.244791508,58.000000000,pedal
4.265625000,60.000000000,pedal
4.284375191,65.000000000,pedal
4.304166794,74.000000000,pedal
4.324999809,87.000000000,pedal
4.345833302,104.000000000,pedal
4.365624905,127.000000000,pedal
4.884375095,95.000000000,pedal
4.905208111,78.000000000,pedal
4.925000191,70.000000000,pedal
4.944791794,66.000000000,pedal
4.964583397,62.000000000,pedal
4.985416889,58.000000000,pedal
5.005208492,54.000000000,pedal
5.023958206,50.000000000,pedal
5.044791698,48.000000000,pedal
5.304166794,47.000000000,pedal
5.344791889,46.000000000,pedal
5.384375095,45.000000000,pedal
5.404166698,44.000000000,pedal
5.824999809,43.000000000,pedal
5.844791889,42.000000000,pedal
5.885416508,41.000000000,pedal
5.923958302,40.000000000,pedal
5.944791794,39.000000000,pedal
5.985416889,38.000000000,pedal
6.006249905,37.000000000,pedal
6.023958206,36.000000000,pedal
6.064583302,35.000000000,pedal
6.324999809,36.000000000,pedal
6.344791889,37.000000000,pedal
6.465624809,38.000000000,pedal
6.525000095,39.000000000,pedal
6.545833111,40.000000000,pedal
6.826041698,41.000000000,pedal
7.044791698,42.000000000,pedal
7.123958111,43.000000000,pedal
7.244791508,44.000000000,pedal
7.285416603,45.000000000,pedal
7.404166698,46.000000000,pedal
7.525000095,47.000000000,pedal
7.544791698,51.000000000,pedal
7.565625191,57.000000000,pedal
7.584374905,68.000000000,pedal
7.605208397,85.000000000,pedal
7.625000000,107.000000000,pedal
7.644791603,127.000000000,pedal
7.824999809,108.000000000,pedal
7.844791889,93.000000000,pedal
7.864583492,84.000000000,pedal
7.885416508,79.000000000,pedal
7.905208111,75.000000000,pedal
7.925000191,72.000000000,pedal
7.944791794,69.000000000,pedal
7.964583397,67.000000000,pedal
7.985416889,65.000000000,pedal
8.023958206,64.000000000,pedal
8.105208397,63.000000000,pedal
8.304166794,62.000000000,pedal
8.364583015,61.000000000,pedal
8.483333588,60.000000000,pedal
8.805208206,61.000000000,pedal
9.185416222,62.000000000,pedal
9.206250191,64.000000000,pedal
9.223958015,71.000000000,pedal
9.244791985,84.000000000,pedal
9.264583588,99.000000000,pedal
9.285416603,127.000000000,pedal
9.804166794,108.000000000,pedal
9.824999809,89.000000000,pedal
9.843750000,77.000000000,pedal
9.864583015,72.000000000,pedal
9.884374619,68.000000000,pedal
9.905208588,65.000000000,pedal
9.925000191,62.000000000,pedal
9.943750381,59.000000000,pedal
9.964583397,57.000000000,pedal
10.085416794,61.000000000,pedal
10.105208397,69.000000000,pedal
10.123958588,81.000000000,pedal
10.144791603,98.000000000,pedal
10.164583206,127.000000000,pedal
10.565625191,117.000000000,pedal
10.584375381,103.000000000,pedal
10.604166985,89.000000000,pedal
10.625000000,78.000000000,pedal
10.644791603,73.000000000,pedal
10.663541794,70.000000000,pedal
10.684374809,68.000000000,pedal
10.704166412,65.000000000,pedal
10.725000381,62.000000000,pedal
10.745833397,60.000000000,pedal
10.763541222,59.000000000,pedal
10.784375191,58.000000000,pedal
10.843750000,57.000000000,pedal
10.885416985,58.000000000,pedal
10.905208588,63.000000000,pedal
10.925000191,71.000000000,pedal
10.943750381,81.000000000,pedal
10.964583397,94.000000000,pedal
10.985416412,115.000000000,pedal
11.005208015,127.000000000,pedal
11.524999619,101.000000000,pedal
11.544791222,83.000000000,pedal
11.564583778,71.000000000,pedal
11.584375381,67.000000000,pedal
11.605208397,64.000000000,pedal
11.625000000,62.000000000,pedal
11.645833015,60.000000000,pedal
11.665624619,57.000000000,pedal
11.684374809,56.000000000,pedal
11.964583397,55.000000000,pedal
11.984375000,54.000000000,pedal
12.024999619,53.000000000,pedal
12.944791794,54.000000000,pedal
12.964583397,58.000000000,pedal
12.984375000,66.000000000,pedal
13.005208015,79.000000000,pedal
13.024999619,95.000000000,pedal
13.043749809,122.000000000,pedal
13.064583778,127.000000000,pedal
13.464583397,116.000000000,pedal
13.485416412,92.000000000,pedal
13.504166603,79.000000000,pedal
13.523958206,75.000000000,pedal
13.544791222,73.000000000,pedal
13.565625191,70.000000000,pedal
13.584375381,68.000000000,pedal
13.604166985,66.000000000,pedal
13.684374809,65.000000000,pedal
13.704166412,64.000000000,pedal
13.925000191,65.000000000,pedal
13.945833206,66.000000000,pedal
13.964583397,70.000000000,pedal
13.984375000,76.000000000,pedal
14.005208015,85.000000000,pedal
14.024999619,101.000000000,pedal
14.043749809,127.000000000,pedal
14.364583015,98.000000000,pedal
14.385416985,81.000000000,pedal
14.405208588,76.000000000,pedal
14.423958778,74.000000000,pedal
14.444791794,72.000000000,pedal
14.464583397,70.000000000,pedal
14.485416412,69.000000000,pedal
14.504166603,67.000000000,pedal
14.523958206,66.000000000,pedal
14.565625191,65.000000000,pedal
14.684374809,66.000000000,pedal
14.705208778,70.000000000,pedal
14.723958015,78.000000000,pedal
14.744791985,91.000000000,pedal
14.764583588,114.000000000,pedal
14.784375191,127.000000000,pedal
15.125000000,98.000000000,pedal
15.144791603,83.000000000,pedal
15.164583206,76.000000000,pedal
15.184374809,75.000000000,pedal
15.205208778,73.000000000,pedal
15.225000381,71.000000000,pedal
15.244791985,70.000000000,pedal
15.264583588,69.000000000,pedal
15.464583397,70.000000000,pedal
15.485416412,74.000000000,pedal
15.504166603,79.000000000,pedal
15.523958206,87.000000000,pedal
15.544791222,101.000000000,pedal
15.565625191,127.000000000,pedal
15.925000191,114.000000000,pedal
15.944791794,91.000000000,pedal
15.963541985,80.000000000,pedal
15.984375000,78.000000000,pedal
16.005208969,76.000000000,pedal
16.024999619,74.000000000,pedal
16.045833588,73.000000000,pedal
16.225000381,74.000000000,pedal
16.364583969,75.000000000,pedal
16.385416031,77.000000000,pedal
16.405208588,84.000000000,pedal
16.423957825,98.000000000,pedal
16.444791794,127.000000000,pedal
16.744791031,95.000000000,pedal
16.765625000,79.000000000,pedal
16.784374237,75.000000000,pedal
16.804166794,73.000000000,pedal
16.823957443,71.000000000,pedal
16.844791412,70.000000000,pedal
16.865625381,68.000000000,pedal
16.884374619,67.000000000,pedal
17.024999619,70.000000000,pedal
17.044792175,75.000000000,pedal
17.064582825,85.000000000,pedal
17.084375381,99.000000000,pedal
17.105207443,127.000000000,pedal
17.625000000,94.000000000,pedal
17.644792557,76.000000000,pedal
17.664583206,71.000000000,pedal
17.685417175,69.000000000,pedal
17.704166412,66.000000000,pedal
17.723958969,65.000000000,pedal
17.744791031,63.000000000,pedal
17.765625000,62.000000000,pedal
17.825000763,63.000000000,pedal
17.844791412,64.000000000,pedal
17.865625381,67.000000000,pedal
17.883333206,72.000000000,pedal
17.904167175,80.000000000,pedal
17.924999237,92.000000000,pedal
17.944791794,113.000000000,pedal
17.965625763,127.000000000,pedal
18.443750381,112.000000000,pedal
18.464582443,84.000000000,pedal
18.484375000,75.000000000,pedal
18.505208969,73.000000000,pedal
18.523958206,70.000000000,pedal
18.544792175,67.000000000,pedal
18.564582825,65.000000000,pedal
18.585416794,64.000000000,pedal
18.623958588,65.000000000,pedal
18.644792557,67.000000000,pedal
18.665624619,70.000000000,pedal
18.685417175,77.000000000,pedal
18.704166412,85.000000000,pedal
18.723958969,97.000000000,pedal
18.744791031,127.000000000,pedal
19.364583969,113.000000000,pedal
19.384374619,87.000000000,pedal
19.405208588,74.000000000,pedal
19.424999237,70.000000000,pedal
19.444791794,68.000000000,pedal
19.464582443,65.000000000,pedal
19.485416412,62.000000000,pedal
19.505208969,59.000000000,pedal
19.523958206,56.000000000,pedal
19.544792175,55.000000000,pedal
19.564582825,53.000000000,pedal
19.585416794,51.000000000,pedal
19.605207443,49.000000000,pedal
19.623958588,48.000000000,pedal
19.704166412,47.000000000,pedal
19.744791031,46.000000000,pedal
19.924999237,45.000000000,pedal
19.984375000,44.000000000,pedal
20.024999619,43.000000000,pedal
20.104166031,42.000000000,pedal
20.125000000,41.000000000,pedal
20.305208206,44.000000000,pedal
20.325000763,55.000000000,pedal
20.343750000,70.000000000,pedal
20.364583969,87.000000000,pedal
20.384374619,105.000000000,pedal
20.405208588,127.000000000,pedal
20.744791031,93.000000000,pedal
20.764583588,78.000000000,pedal
20.784374237,73.000000000,pedal
20.804166794,70.000000000,pedal
20.823957443,68.000000000,pedal
20.844791412,65.000000000,pedal
20.864583969,62.000000000,pedal
20.885416031,59.000000000,pedal
20.904167175,58.000000000,pedal
20.983333588,57.000000000,pedal
21.125000000,58.000000000,pedal
21.145833969,59.000000000,pedal
21.164583206,62.000000000,pedal
21.184375763,67.000000000,pedal
21.205207825,74.000000000,pedal
21.225000381,82.000000000,pedal
21.245832443,90.000000000,pedal
21.264583588,101.000000000,pedal
21.284374237,126.000000000,pedal
21.305208206,127.000000000,pedal
21.605207443,102.000000000,pedal
21.623958588,89.000000000,pedal
21.644792557,83.000000000,pedal
21.664583206,80.000000000,pedal
21.684375763,78.000000000,pedal
21.705207825,77.000000000,pedal
21.764583588,78.000000000,pedal
21.865625381,79.000000000,pedal
21.885416031,80.000000000,pedal
22.585416794,81.000000000,pedal
22.605207443,82.000000000,pedal
22.623958588,84.000000000,pedal
22.644792557,88.000000000,pedal
22.664583206,93.000000000,pedal
22.685417175,101.000000000,pedal
22.706249237,118.000000000,pedal
22.723958969,127.000000000,pedal
23.263542175,94.000000000,pedal
23.284374237,76.000000000,pedal
23.304166794,69.000000000,pedal
23.325000763,66.000000000,pedal
23.345832825,62.000000000,pedal
23.363542557,59.000000000,pedal
23.384374619,57.000000000,pedal
23.404167175,56.000000000,pedal
23.444791794,57.000000000,pedal
23.463541031,61.000000000,pedal
23.484375000,69.000000000,pedal
23.505208969,81.000000000,pedal
23.524999619,100.000000000,pedal
23.543750763,127.000000000,pedal
24.085416794,106.000000000,pedal
24.104166031,81.000000000,pedal
24.125000000,70.000000000,pedal
24.144792557,67.000000000,pedal
24.165624619,63.000000000,pedal
24.184375763,60.000000000,pedal
24.205207825,57.000000000,pedal
24.225000381,55.000000000,pedal
24.284374237,57.000000000,pedal
24.304166794,62.000000000,pedal
24.325000763,69.000000000,pedal
24.344791412,83.000000000,pedal
24.364583969,102.000000000,pedal
24.384374619,127.000000000,pedal
24.885416031,117.000000000,pedal
24.905208588,89.000000000,pedal
24.923957825,74.000000000,pedal
24.944791794,67.000000000,pedal
24.964582443,63.000000000,pedal
24.984375000,61.000000000,pedal
25.004167557,59.000000000,pedal
25.026041031,57.000000000,pedal
25.085416794,59.000000000,pedal
25.105207443,63.000000000,pedal
25.125000000,71.000000000,pedal
25.144792557,83.000000000,pedal
25.165624619,101.000000000,pedal
25.184375763,127.000000000,pedal
25.725000381,92.000000000,pedal
25.743749619,74.000000000,pedal
25.764583588,68.000000000,pedal
25.785417557,63.000000000,pedal
25.805208206,60.000000000,pedal
25.823957443,58.000000000,pedal
25.885416031,60.000000000,pedal
25.905208588,66.000000000,pedal
25.923957825,77.000000000,pedal
25.944791794,92.000000000,pedal
25.964582443,116.000000000,pedal
25.985416412,127.000000000,pedal
26.125000000,100.000000000,pedal
26.144792557,82.000000000,pedal
26.164583206,76.000000000,pedal
26.185417175,73.000000000,pedal
26.204166412,70.000000000,pedal
26.225000381,69.000000000,pedal
26.265625000,74.000000000,pedal
26.284374237,85.000000000,pedal
26.304166794,100.000000000,pedal
26.325000763,127.000000000,pedal
26.544792175,112.000000000,pedal
26.564582825,88.000000000,pedal
26.584375381,78.000000000,pedal
26.605207443,75.000000000,pedal
26.625000000,73.000000000,pedal
26.643749237,70.000000000,pedal
26.664583206,67.000000000,pedal
26.684375763,65.000000000,pedal
26.705207825,64.000000000,pedal
26.784374237,62.000000000,pedal
26.805208206,61.000000000,pedal
26.905208588,60.000000000,pedal
26.923957825,59.000000000,pedal
27.005208969,58.000000000,pedal
27.023958206,57.000000000,pedal
27.125000000,59.000000000,pedal
27.144792557,63.000000000,pedal
27.164583206,72.000000000,pedal
27.185417175,84.000000000,pedal
27.204166412,100.000000000,pedal
27.223958969,127.000000000,pedal
27.604166031,99.000000000,pedal
27.625000000,82.000000000,pedal
27.644792557,77.000000000,pedal
27.664583206,75.000000000,pedal
27.684375763,74.000000000,pedal
27.705207825,71.000000000,pedal
27.726041794,69.000000000,pedal
27.743749619,68.000000000,pedal
27.764583588,67.000000000,pedal
28.006250381,66.000000000,pedal
28.085416794,67.000000000,pedal
28.104166031,68.000000000,pedal
28.123958588,72.000000000,pedal
28.144792557,79.000000000,pedal
28.164583206,90.000000000,pedal
28.185417175,107.000000000,pedal
28.204166412,127.000000000,pedal
28.564582825,98.000000000,pedal
28.584375381,81.000000000,pedal
28.604166031,74.000000000,pedal
28.625000000,71.000000000,pedal
28.645833969,69.000000000,pedal
28.664583206,66.000000000,pedal
28.684375763,65.000000000,pedal
28.705207825,64.000000000,pedal
28.725000381,63.000000000,pedal
28.764583588,64.000000000,pedal
28.805208206,63.000000000,pedal
28.864583969,64.000000000,pedal
28.905208588,66.000000000,pedal
28.926042557,70.000000000,pedal
28.944791794,77.000000000,pedal
28.964582443,92.000000000,pedal
28.985416412,118.000000000,pedal
29.005208969,127.000000000,pedal
29.325000763,93.000000000,pedal
29.344791412,79.000000000,pedal
29.365625381,76.000000000,pedal
29.384374619,75.000000000,pedal
29.424999237,73.000000000,pedal
29.444791794,71.000000000,pedal
29.705207825,72.000000000,pedal
29.725000381,74.000000000,pedal
29.745832443,77.000000000,pedal
29.764583588,85.000000000,pedal
29.784374237,98.000000000,pedal
29.805208206,127.000000000,pedal
30.044792175,115.000000000,pedal
30.064582825,94.000000000,pedal
30.085416794,83.000000000,pedal
30.105207443,78.000000000,pedal
30.123958588,76.000000000,pedal
30.144792557,74.000000000,pedal
30.164583206,72.000000000,pedal
30.605207443,73.000000000,pedal
30.924999237,72.000000000,pedal
30.964582443,70.000000000,pedal
30.985416412,69.000000000,pedal
31.005208969,67.000000000,pedal
31.144792557,69.000000000,pedal
31.164583206,73.000000000,pedal
31.185417175,78.000000000,pedal
31.205207825,88.000000000,pedal
31.223958969,106.000000000,pedal
31.244791031,127.000000000,pedal
31.864583969,94.000000000,pedal
31.885416031,75.000000000,pedal
31.905208588,68.000000000,pedal
31.924999237,66.000000000,pedal
31.945833206,65.000000000,pedal
32.085414886,66.000000000,pedal
32.105209351,68.000000000,pedal
32.126041412,70.000000000,pedal
32.144790649,75.000000000,pedal
32.164585114,84.000000000,pedal
